sample,Longitude,Latitude,Depth,Type,Location
,-80.37283333,25.01,9,Restored,Molasses
,-80.4525,24.95333333,14,Restored,Aquarius
,-80.45983333,24.95133333,6,Restored,Conch Shallow
,-80.2975,25.12183333,10,Restored,French
,-80.29733333,25.12416667,6,Restored,KL Dry Rocks
,-80.41233333,24.98833333,9,Restored,Pickles
,-80.45283333,24.98716667,6,Wild,Tav Patch A
,-80.45266667,24.98733333,6,Wild,Tav Patch B
,-80.47016667,24.94633333,6,Wild,Little Conch
,-80.43333333,24.98333333,11,Nursery,CRF nursery
